1-18,Even,Red,Black,Odd,19-36,Dozen 1 & 2,Dozen 1 & 3,Dozen 2 & 3,Column 1 & 2,Column 1 & 3,Column 2 & 3,Rom 1 Down,Rom 1 Up,Rom 1 Low,Rom 1 High,Rom 2 Down,Rom 2 Up,Rom 2 Low,Rom 2 High,Rom 3 Down,Rom 3 Up,Rom 3 Low,Rom 3 High,5DS ,Dirty Doz 1-18,Dirty Doz 19-36,DS 01-06,DS 07-12,DS 25-30,DS 31-36,C34-MOAC,C34-D1-OL,C34-D1-OM,C34-D1-OH,C34-D1-IL,C34-D1-IM,C34-D1-IH,C34-D2-OM,C34-D2-OH,C34-D2-IL,C34-D2-IM,C34-D2-IH,C34-D3-OL,C34-D3-OM,C34-D3-OH,C34-D3-IL,C34-D3-IM,C34-D3-IH,33 of 37,Economy SD Up,Economy SD Down,Countdown 1 & 2,Countdown 1 & 3,Countdown 2 & 3,Degen Mo-Hi,Degen Mo-Mid,Degen Mo-Low,Black Mo,Red Mo,Slow Mo,Pay Bill,Pay Rent FWD,Pay Rent REV,Rail Grinder-High,Rail Grinder-Mid,Rail Grinder-Low,Ricky Bobby,-Zero
1,2,1,2,1,19,1,1,13,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,4,1,1,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,2,1,8,1,1,2,1,1,1,1,1,1,1,1,2,1,0
2,4,3,4,3,20,2,2,14,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,5,2,2,8,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,11,2,3,3,2,2,2,2,2,2,2,3,3,2,
3,6,5,6,5,21,3,3,15,4,4,5,5,4,4,5,3,3,3,3,3,3,3,3,6,3,3,9,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,14,4,4,4,4,3,3,3,3,3,4,4,4,3,
4,8,7,8,7,22,4,4,16,5,6,6,6,5,5,6,4,4,4,4,4,4,4,4,7,4,4,10,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,7,6,6,5,4,15,5,5,5,5,4,4,4,4,4,5,5,5,4,
5,10,9,10,9,23,5,5,17,7,7,8,7,8,7,8,5,5,5,5,5,5,5,5,8,5,5,11,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,8,7,7,6,5,16,6,6,6,6,5,5,5,5,5,6,6,6,5,
6,12,12,11,11,24,6,6,18,8,9,9,8,9,8,9,6,6,6,6,6,6,6,6,9,6,6,12,6,6,6,6,7,7,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,9,8,8,7,6,17,7,7,7,8,7,6,6,6,6,7,7,7,6,
7,14,14,13,13,25,7,7,19,10,10,11,10,11,10,11,7,7,7,7,7,7,7,7,10,7,7,13,13,7,7,7,8,8,8,9,9,8,7,7,7,7,7,7,7,7,7,7,7,10,9,9,8,7,18,8,8,8,9,8,7,7,7,7,8,8,8,7,
8,16,16,15,15,26,8,8,20,11,12,12,11,12,11,12,8,8,8,8,8,8,8,8,11,8,8,14,14,8,8,8,9,9,9,10,10,10,8,8,8,8,8,8,8,8,8,8,8,11,10,10,9,8,19,9,9,9,10,9,8,8,8,8,9,9,9,8,
9,18,18,17,17,27,9,9,21,13,13,14,13,13,13,13,9,9,9,9,9,9,9,9,12,9,9,15,15,9,9,9,11,10,10,11,11,11,9,9,9,9,9,9,9,9,9,9,9,12,11,11,10,9,20,10,10,11,11,12,9,9,9,9,10,10,10,9,
10,20,19,20,19,28,10,10,22,14,15,15,14,14,14,14,10,10,10,10,10,10,10,10,13,10,10,16,16,10,10,10,12,12,11,12,12,12,10,10,10,10,10,10,10,10,10,10,10,13,12,12,11,10,21,11,12,12,12,14,10,13,10,10,11,11,11,10,
